Paddock,Channel,Section,CPTu,PiezometerID,SNumber,Logger,certificate_date,G,Tk,CF,A,B,C,R0,Tm,S0,IB_ReadingB,IB_ Temp_C,IB_Barometer_mbar,Comentarios
CROWN,3,10,CPT 20,VW 43,53970,1816,12/23/2015,0.15595,,,-2.95E-08,-0.1556394,973.2920487,6246.1,22,1020,,,,
CROWN,1,10,CPT 18-13,VW-CN-02,1833522,16596,9/20/2018,-0.2631,-0.01009,,-1.11E-06,-0.2474,2308.463616,8969,25.2,993.9,8975.9,17,,
CROWN,1,10,CPT 18-14,VW-CN-03,1833523,16444,9/20/2018,-0.2626,-0.04793,,-1.03E-06,-0.2481,2299.055512,8934,24.3,993.9,8935.8,17,,
CROWN,3,10,CPT 20,VW43,64918,1816,8/23/2019,,0.19134,0.19802,1.06E-06,-0.21254,1759.054936,8648,18.6,1015.6,,,,
CROWN,1,11,CPT 21,VW 46,53972,2121,12/23/2015,0.15299,,,5.43E-08,-0.1535163,897.3588564,5857.5,22,1020,,,,
CROWN,2,11,CPT 21,VW 45,54007,2121,12/23/2015,0.14527,,,-4.66E-07,-0.1405904,868.2757525,6054.4,22,978,,,,
CROWN,2,12,CPT 22,VW 48,53952,2423,12/23/2015,0.15921,,,-3.34E-07,-0.1558464,942.5236324,5971.3,24,1013,,,,
CROWN,3,12,CPT 22,VW 47,53956,2423,12/23/2015,0.14622,,,6.23E-08,-0.1468195,859.3753177,5867.9,24,1013,,,,
CROWN,1,12,CPT 22,VW 49,53961,2423,12/23/2015,0.15952,,,-5.92E-07,-0.153322,969.8386067,6178.1,22,1020,,,,
CROWN,1,13,CPT 23,VW 51,53947,2162,12/23/2015,0.14459,,,3.49E-08,-0.1449201,836.5171452,5780.3,24,1013,,,,
CROWN,1,13,,VW 51,64914,20892,8/23/2019,,0.18392,0.2114,1.58E-07,-0.21356,1805.567675,8508,19.5,1015.6,,,,New piezometer
CROWN,1,13,CPT 23,VW 50,53957,20989,12/23/2015,0.14845,,,-1.27E-09,-0.1484363,906.8597757,6109.1,24,1013,,,,
CROWN,1,13,,VW 50,64915,20989,8/23/2019,,0.12329,0.19377,-1.13E-07,-0.19219,1700.803313,8804,18.5,1015.6,,,,New piezometer
CROWN,1,,CPT N/A,VW-CN-01,1833539,3006,9/20/2018,-0.2657,-0.05916,,-8.45E-07,-0.2538,2321.411748,8884,24.3,1003.2,8898.5,17.2,,
Z1,1,14,CPT18-18,VW-ZB-02,1833533,16601,9/20/2018,-0.262,-0.03848,,-1.22E-06,-0.2449,2284.380258,8932,23.1,1003.2,8955.4,23,,
Z1,1,15,CPT 18-19,VW-ZC-01,1833537,16725,9/20/2018,-0.2526,-0.01906,,-1.22E-06,-0.2355,2216.679588,8993,23.8,1003.2,9020.9,25.2,,
